entity_id,group,outcome,model,AUROC,AUPRC,Brier,sensitivity,specificity,PPV,NPV,threshold,threshold_strategy,N,events,TP,FP,TN,FN
v2|P2|overall|logistic_regression,overall,y_P2,logistic_regression,0.8675273476965081,0.4130543238235219,0.13389439977588233,0.8003802281368821,0.8207895904184533,0.25780771586037965,0.9814356435643564,0.501068011650245,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,421,1212,5551,105
v2|P2|overall|catboost,overall,y_P2,catboost,0.9080382578208761,0.4895122498840894,0.059194323831781324,0.8212927756653993,0.8440041401744788,0.2905178211163416,0.9837986901068597,0.22695013990777752,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,432,1055,5708,94
v2|P2|overall|xgboost,overall,y_P2,xgboost,0.9082266009021354,0.4880677197209999,0.04881358943490965,0.8212927756653993,0.8440041401744788,0.2905178211163416,0.9837986901068597,0.09942437708377838,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,432,1055,5708,94
v2|P2|overall|lightgbm,overall,y_P2,lightgbm,0.9054610498074684,0.47922511104598575,0.049228419508605036,0.8193916349809885,0.8440041401744788,0.29004037685060563,0.9836291573324143,0.09535970515675189,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,431,1055,5708,95
v2|P2|overall|bert_finetuned,overall,y_P2,bert_finetuned,0.8342315236842829,0.30179216730973835,0.19312623120744532,0.7357414448669202,0.7736211740351915,0.20177267987486966,0.9741202755539006,0.5506128072738647,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,387,1531,5232,139
v2|P2|overall|mlp_plr,overall,y_P2,mlp_plr,0.9087531182024312,0.48764442142821873,0.14508537117328127,0.8288973384030418,0.8497708117699246,0.3002754820936639,0.9845811204385815,0.6411654949188232,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,436,1016,5747,90
v2|P2|overall|ft_transformer,overall,y_P2,ft_transformer,0.902415795181678,0.44489681865099734,0.13076860362192902,0.8098859315589354,0.8348366109714623,0.2760855476344783,0.9825965889314305,0.5389659404754639,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,426,1117,5646,100
v2|P2|overall|cnn_1d,overall,y_P2,cnn_1d,0.9024796069420449,0.420105320011401,0.17666522805720278,0.8136882129277566,0.8435605500517522,0.288021534320323,0.9831121833534379,0.6646299362182617,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,428,1058,5705,98
v2|P2|overall|tabpfn,overall,y_P2,tabpfn,0.9037940729837874,0.4513636330586297,0.05049732133618827,0.8041825095057035,0.8349844743457046,0.27485380116959063,0.9820869565217392,0.08159566670656204,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,423,1116,5647,103
v2|P2|overall|tabicl,overall,y_P2,tabicl,0.8584981241591324,0.3579824319122412,0.0552853582561688,0.7680608365019012,0.7802750258760905,0.21375661375661376,0.9774032228190406,0.08093025721609592,run_stage2a_v2.select_operating_point:max_min_sensitivity_specificity,7289,526,404,1486,5277,122
