group,city,feature,n,missing_n,missing_rate
medicine,台北,MISSREASON_EMT_問卷_氧氣流量Lmin__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_氧氣流量Lmin__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_氧氣流量Lmin__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_氧氣流量Lmin__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_問卷_靜脈輸液量ml,911,911,1.0
medicine,台北,MISS_EMT_問卷_靜脈輸液量ml,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_靜脈輸液量ml__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_靜脈輸液量ml__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_靜脈輸液量ml__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_靜脈輸液量ml__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_體重,911,911,1.0
medicine,台北,MISS_EMT_體重,911,0,0.0
medicine,台北,MISSREASON_EMT_體重__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_體重__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_體重__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_體重__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_燒燙傷一級%,911,911,1.0
medicine,台北,MISS_EMT_燒燙傷一級%,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷一級%__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷一級%__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷一級%__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷一級%__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_燒燙傷二級%,911,911,1.0
medicine,台北,MISS_EMT_燒燙傷二級%,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷二級%__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷二級%__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷二級%__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷二級%__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_燒燙傷三級%,911,911,1.0
medicine,台北,MISS_EMT_燒燙傷三級%,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷三級%__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷三級%__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷三級%__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷三級%__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_燒燙傷總%,911,911,1.0
medicine,台北,MISS_EMT_燒燙傷總%,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷總%__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷總%__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷總%__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_燒燙傷總%__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_城市__台北,911,0,0.0
medicine,台北,EMT_城市__新北,911,0,0.0
medicine,台北,EMT_城市__OTHER_RARE,911,0,0.0
medicine,台北,EMT_城市__MISSING,911,0,0.0
medicine,台北,EMT_性別__女,911,0,0.0
medicine,台北,EMT_性別__男,911,0,0.0
medicine,台北,EMT_性別__OTHER_RARE,911,0,0.0
medicine,台北,EMT_性別__MISSING,911,0,0.0
medicine,台北,EMT_送醫路由__家屬指定送醫,911,0,0.0
medicine,台北,EMT_送醫路由__就近適當,911,0,0.0
medicine,台北,EMT_送醫路由__指揮中心,911,0,0.0
medicine,台北,EMT_送醫路由__OTHER_RARE,911,0,0.0
medicine,台北,EMT_送醫路由__MISSING,911,0,0.0
medicine,台北,EMT_危急個案__0.0,911,0,0.0
medicine,台北,EMT_危急個案__1.0,911,0,0.0
medicine,台北,EMT_危急個案__OTHER_RARE,911,0,0.0
medicine,台北,EMT_危急個案__MISSING,911,0,0.0
medicine,台北,EMT_發生地區__三峽區,911,0,0.0
medicine,台北,EMT_發生地區__三重區,911,0,0.0
medicine,台北,EMT_發生地區__中和區,911,0,0.0
medicine,台北,EMT_發生地區__土城區,911,0,0.0
medicine,台北,EMT_發生地區__坪林區,911,0,0.0
medicine,台北,EMT_發生地區__市文山區,911,0,0.0
medicine,台北,EMT_發生地區__新店區,911,0,0.0
medicine,台北,EMT_發生地區__新莊區,911,0,0.0
medicine,台北,EMT_發生地區__板橋區,911,0,0.0
