group,outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,957,6.0317660405899405
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_生命徵象量測次數,continuous_or_ordinal,15866,15446,420,2.64717004916173,continuous_median_iqr,3.0,3.0,3.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_生命徵象量測次數,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,420,2.64717004916173
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,420,2.64717004916173
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_問卷_疼痛指數,continuous_or_ordinal,15866,8260,7606,47.93898903315265,continuous_median_iqr,1.0,1.0,3.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_問卷_疼痛指數,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,7606,47.93898903315265
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,6515,41.06264969116349
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,1091,6.8763393419891585
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_問卷_左瞳孔尺寸mm,continuous_or_ordinal,15866,14590,1276,8.042354720786587,continuous_median_iqr,3.0,3.0,3.0,,
