split_year,outcome,outcome_value,feature,n,missing_n,missing_rate
2020,y_P1,0,MISSREASON_EMT_問卷_右瞳孔尺寸mm__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_問卷_血糖值mgdl,5270,4126,0.78292220113852
2020,y_P1,0,MISS_EMT_問卷_血糖值mgdl,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_血糖值mgdl__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_血糖值mgdl__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_血糖值mgdl__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_血糖值mgdl__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_問卷_氧氣流量Lmin,5270,4614,0.8755218216318785
2020,y_P1,0,MISS_EMT_問卷_氧氣流量Lmin,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_氧氣流量Lmin__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_氧氣流量Lmin__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_氧氣流量Lmin__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_氧氣流量Lmin__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_問卷_靜脈輸液量ml,5270,5013,0.9512333965844404
2020,y_P1,0,MISS_EMT_問卷_靜脈輸液量ml,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_靜脈輸液量ml__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_靜脈輸液量ml__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_靜脈輸液量ml__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_靜脈輸液量ml__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_體重,5270,69,0.0130929791271347
2020,y_P1,0,MISS_EMT_體重,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_體重__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_體重__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_體重__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_體重__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_燒燙傷一級%,5270,0,0.0
2020,y_P1,0,MISS_EMT_燒燙傷一級%,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷一級%__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷一級%__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷一級%__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷一級%__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_燒燙傷二級%,5270,0,0.0
2020,y_P1,0,MISS_EMT_燒燙傷二級%,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷二級%__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷二級%__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷二級%__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷二級%__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_燒燙傷三級%,5270,0,0.0
2020,y_P1,0,MISS_EMT_燒燙傷三級%,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷三級%__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷三級%__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷三級%__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷三級%__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_燒燙傷總%,5270,0,0.0
2020,y_P1,0,MISS_EMT_燒燙傷總%,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷總%__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷總%__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷總%__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_燒燙傷總%__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_城市__台北,5270,0,0.0
2020,y_P1,0,EMT_城市__新北,5270,0,0.0
2020,y_P1,0,EMT_城市__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_城市__MISSING,5270,0,0.0
2020,y_P1,0,EMT_性別__女,5270,0,0.0
2020,y_P1,0,EMT_性別__男,5270,0,0.0
2020,y_P1,0,EMT_性別__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_性別__MISSING,5270,0,0.0
2020,y_P1,0,EMT_送醫路由__家屬指定送醫,5270,0,0.0
2020,y_P1,0,EMT_送醫路由__就近適當,5270,0,0.0
2020,y_P1,0,EMT_送醫路由__指揮中心,5270,0,0.0
2020,y_P1,0,EMT_送醫路由__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_送醫路由__MISSING,5270,0,0.0
2020,y_P1,0,EMT_危急個案__0.0,5270,0,0.0
2020,y_P1,0,EMT_危急個案__1.0,5270,0,0.0
2020,y_P1,0,EMT_危急個案__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_危急個案__MISSING,5270,0,0.0
2020,y_P1,0,EMT_發生地區__三峽區,5270,0,0.0
