outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_體溫,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1015,4.118315345289297
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,14,0.05680434959019719
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,980,3.9763044713138034
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,21,0.08520652438529579
P1,y_P1,train_2020_2023,0,EMT_現場_GCS,continuous_or_ordinal,24646,23503,1143,4.637669398685385,continuous_median_iqr,15.0,15.0,15.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1143,4.637669398685385
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,160,0.6491925667451107
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,983,3.9884768319402744
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_現場_GCS_E,continuous_or_ordinal,24646,23505,1141,4.629554491601072,continuous_median_iqr,4.0,4.0,4.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS_E,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1141,4.629554491601072
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,160,0.6491925667451107
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,981,3.98036192485596
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_現場_GCS_V,continuous_or_ordinal,24646,23503,1143,4.637669398685385,continuous_median_iqr,5.0,5.0,5.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS_V,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1143,4.637669398685385
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,160,0.6491925667451107
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,983,3.9884768319402744
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_現場_GCS_M,continuous_or_ordinal,24646,23504,1142,4.633611945143228,continuous_median_iqr,6.0,6.0,6.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS_M,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1142,4.633611945143228
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,160,0.6491925667451107
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,982,3.984419378398117
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,EMT_車上_舒張壓,continuous_or_ordinal,24646,22475,2171,8.808731640022721,continuous_median_iqr,78.0,69.0,88.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_車上_舒張壓,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,2171,8.808731640022721
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,649,2.633287348859856
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,1514,6.142984662825611
