group,analysis_split,outcome,n,events,patient_groups,row_set_sha256,group_set_sha256
surgery,train_2020_2023,S6,8731,103,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,validation_2024,P1,2712,9,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,P2,2712,41,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,P3,2712,32,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,S1,2712,17,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,S2,2712,24,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,S3,2712,521,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,S4,2712,140,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,S5,2712,14,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,validation_2024,S6,2712,42,2657,ad5a28fd7848d894a1b7b5ee934c94433784acc664c67ec7880f0cec88717a4e,69d89782191388fa698f7f5f0b373b7cb453da53ba26336777091ac8ec3baf8c
surgery,overall_le2024,P1,11443,18,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,P2,11443,161,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,P3,11443,88,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,S1,11443,50,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,S2,11443,76,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,S3,11443,2134,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,S4,11443,565,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,S5,11443,48,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
surgery,overall_le2024,S6,11443,145,11090,3b56fc262c03ee96e9d6d210d6f073b8f80195e8a43324a9f65196f809b6e14a,82558be3f9ed9fd3f389794fd3201f73180a01d70ca918d513929b118d892b58
