task_id,no_text_task_id,group,outcome,model,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,mixed_outcome_patient_groups,bootstrap_replicates,bootstrap_success,bootstrap_seed,bootstrap_method,group_stratum_rule,expected_group_multiplicity,legacy_overlapping_strata_ci,scope,source_id,source_candidate_sha256,source_acceptance_manifest_sha256,source_with_text_model_sha256
P1_06-P2-mlp_plr,medicine_P2_mlp_plr_no_text,medicine,P2,mlp_plr,validation_2024,AUPRC_no_text,0.565350132553807,0.5274435222382273,0.6056275118322575,ESTIMATED,4770,568,4071,101,2000,2000,2992480374,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_mlp_plr_no_text,6c901e5303b537f041eb6e5ce37e24e6f3f1b3718976361b120ac715379d1af2,,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a
P1_06-P2-mlp_plr,medicine_P2_mlp_plr_no_text,medicine,P2,mlp_plr,validation_2024,Delta_AUPRC_text_minus_no_text,0.005529590106892801,-0.003194642767685077,0.014457493809112001,ESTIMATED,4770,568,4071,101,2000,2000,2992480374,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_mlp_plr_no_text,6c901e5303b537f041eb6e5ce37e24e6f3f1b3718976361b120ac715379d1af2,,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a
P1_06-P3-ft_transformer,medicine_P3_ft_transformer_no_text,medicine,P3,ft_transformer,oof_2020_2023,AUPRC,0.27423761596864016,0.24774573056106697,0.3061760395135184,ESTIMATED,15995,703,12203,151,2000,2000,512026504,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_ft_transformer_no_text,c041aabe87ac3f2c2b64f7b523e0cde8ec2766f7900441df44cf071eda2598b8,,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef
P1_06-P3-ft_transformer,medicine_P3_ft_transformer_no_text,medicine,P3,ft_transformer,oof_2020_2023,AUPRC_no_text,0.2833182774213138,0.2554774209572404,0.3164920886088681,ESTIMATED,15995,703,12203,151,2000,2000,512026504,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_ft_transformer_no_text,c041aabe87ac3f2c2b64f7b523e0cde8ec2766f7900441df44cf071eda2598b8,,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef
P1_06-P3-ft_transformer,medicine_P3_ft_transformer_no_text,medicine,P3,ft_transformer,oof_2020_2023,Delta_AUPRC_text_minus_no_text,-0.009080661452673666,-0.019790834723821753,0.0014938456027944716,ESTIMATED,15995,703,12203,151,2000,2000,512026504,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_ft_transformer_no_text,c041aabe87ac3f2c2b64f7b523e0cde8ec2766f7900441df44cf071eda2598b8,,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef
P1_06-P3-ft_transformer,medicine_P3_ft_transformer_no_text,medicine,P3,ft_transformer,validation_2024,AUPRC,0.39210867144703915,0.3395802888564163,0.4519246958955819,ESTIMATED,4770,253,4071,36,2000,2000,3851342710,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_ft_transformer_no_text,c041aabe87ac3f2c2b64f7b523e0cde8ec2766f7900441df44cf071eda2598b8,,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef
P1_06-P3-ft_transformer,medicine_P3_ft_transformer_no_text,medicine,P3,ft_transformer,validation_2024,AUPRC_no_text,0.30422754806247243,0.261020170635397,0.36039539387463154,ESTIMATED,4770,253,4071,36,2000,2000,3851342710,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_ft_transformer_no_text,c041aabe87ac3f2c2b64f7b523e0cde8ec2766f7900441df44cf071eda2598b8,,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef
P1_06-P3-ft_transformer,medicine_P3_ft_transformer_no_text,medicine,P3,ft_transformer,validation_2024,Delta_AUPRC_text_minus_no_text,0.08788112338456672,0.04417553215356647,0.12766296308722178,ESTIMATED,4770,253,4071,36,2000,2000,3851342710,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_ft_transformer_no_text,c041aabe87ac3f2c2b64f7b523e0cde8ec2766f7900441df44cf071eda2598b8,,71202325817549c68e722e8af75b2fdbf7f48442f143e8abd741de04f3351cef
P1_06-P3-mlp_plr,medicine_P3_mlp_plr_no_text,medicine,P3,mlp_plr,oof_2020_2023,AUPRC,0.35084211217744293,0.31709377388926885,0.389502007870309,ESTIMATED,15995,703,12203,151,2000,2000,661286,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_mlp_plr_no_text,c6ca286896fc8c0dbfef6bbcfdc981947c3f58a8b840f24f8b2558986532617d,,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5
P1_06-P3-mlp_plr,medicine_P3_mlp_plr_no_text,medicine,P3,mlp_plr,oof_2020_2023,AUPRC_no_text,0.34832180909584054,0.3146433428618665,0.3871781909439655,ESTIMATED,15995,703,12203,151,2000,2000,661286,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P3_mlp_plr_no_text,c6ca286896fc8c0dbfef6bbcfdc981947c3f58a8b840f24f8b2558986532617d,,af8dd9c20883b18d3cbaee91d8e1ac7070232e701963c9f712ca61c71451d9c5
