task_id,outcome,model,model_family,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,bootstrap_method,validation_cohort_n,coverage_rate,source_id
P1_03-evaluation-P1,P1,catboost__raw,gbdt,validation_2024,Brier,0.009680453871614253,0.008389211610182383,0.011035993037265941,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__raw,gbdt,validation_2024,calibration_in_large,0.04065588774854655,-0.1478331482885244,0.21811209072822138,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__raw,gbdt,validation_2024,calibration_intercept,-0.20839052649239465,-0.518119367596974,0.14814848637876385,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,catboost__raw,gbdt,validation_2024,calibration_slope,0.9053421440899594,0.8161225004951189,1.0107176135067362,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__isotonic,common_ml,validation_2024,AUROC,0.7923343512588458,0.74172950846986,0.8411687137358884,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__isotonic,common_ml,validation_2024,AUPRC,0.12524051702046143,0.09168605247533784,0.16564647295979082,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__isotonic,common_ml,validation_2024,Brier,0.013387432451870957,0.013149170295205811,0.013620835069700623,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__isotonic,common_ml,validation_2024,calibration_in_large,0.9370016201857106,0.8882823602616835,0.9886553389110103,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__isotonic,common_ml,validation_2024,calibration_intercept,1.672281506237841,1.093362519895402,2.2363559977779524,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__isotonic,common_ml,validation_2024,calibration_slope,1.1711408971036932,1.035664725645341,1.311572763775562,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__platt,common_ml,validation_2024,AUROC,0.7922541217139052,0.7449060466560798,0.8407266046744184,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__platt,common_ml,validation_2024,AUPRC,0.12853601103356557,0.09513565303584007,0.17136383339513556,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__platt,common_ml,validation_2024,Brier,0.013986364538686067,0.013804062780686995,0.014158368926392665,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,decision_tree__platt,common_ml,validation_2024,calibration_in_large,1.3457674673870916,1.3177790105238576,1.375201282916679,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
