task_id,outcome,model_a,split,model_b,comparison_variant,n_common,events_common,patient_groups_common,auroc_a,auroc_b,auroc_difference,auroc_delong_p,auprc_a,auprc_b,auprc_difference,auprc_difference_lower_ci,auprc_difference_upper_ci,auprc_paired_bootstrap_p,bootstrap_b,bootstrap_success,bootstrap_method,source_id
P1_03-evaluation-P2,P2,logistic_l2,validation_2024,catboost,raw_validation_2024,7504,609,6600,0.8775488770687689,0.9120606898456913,-0.03451181277692239,1.2747331985727078e-07,0.5099494348148722,0.561071102118452,-0.05112166730357981,-0.07961277421368984,-0.02297420673443428,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,logistic_l2,validation_2024,xgboost,raw_validation_2024,7504,609,6600,0.8775488770687689,0.9148417917841037,-0.0372929147153348,1.2546301902060024e-08,0.5099494348148722,0.5677344096030265,-0.05778497478815425,-0.08654143965895257,-0.027863318459626855,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,logistic_l2,validation_2024,lightgbm,raw_validation_2024,7504,609,6600,0.8775488770687689,0.9129337434256041,-0.03538486635683513,2.541767284471468e-08,0.5099494348148722,0.5590406287516254,-0.04909119393675321,-0.07832198608183852,-0.019822083318679126,0.001,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,catboost,validation_2024,xgboost,raw_validation_2024,7504,609,6600,0.9120606898456913,0.9148417917841037,-0.0027811019384124114,0.21836805636548717,0.561071102118452,0.5677344096030265,-0.006663307484574443,-0.021855797523258856,0.009632573779957848,0.392,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,catboost,validation_2024,lightgbm,raw_validation_2024,7504,609,6600,0.9120606898456913,0.9129337434256041,-0.0008730535799127415,0.7083515349759193,0.561071102118452,0.5590406287516254,0.0020304733668266017,-0.014769493087289772,0.018090415567971162,0.776,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P2,P2,xgboost,validation_2024,lightgbm,raw_validation_2024,7504,609,6600,0.9148417917841037,0.9129337434256041,0.00190804835849967,0.18186023866688494,0.5677344096030265,0.5590406287516254,0.008693780851401045,-0.004779877752513528,0.021707270615734908,0.207,2000,2000,paired_outcome_stratified_patient_group_cluster,s0017
P1_03-evaluation-P3,P3,score_rSI_sMS,validation_2024,logistic_l2,raw_validation_2024,7289,237,6434,0.7210460090323599,0.8363507015994506,-0.11530469256709064,9.91164105663166e-07,0.11397601661632588,0.2818575875679471,-0.1678815709516212,-0.22952032807670333,-0.11202952203984733,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,score_rSI_sMS,validation_2024,catboost,raw_validation_2024,7289,237,6434,0.7210460090323599,0.9129684010999662,-0.1919223920676063,7.9942102467585045e-25,0.11397601661632588,0.3942884493926289,-0.280312432776303,-0.3389495137230264,-0.2214138482213945,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,score_rSI_sMS,validation_2024,xgboost,raw_validation_2024,7289,237,6434,0.7210460090323599,0.9145898700670845,-0.19354386103472454,2.0290608736760513e-25,0.11397601661632588,0.38959701275353664,-0.27562099613721075,-0.3362803942675649,-0.2154105352764978,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,score_rSI_sMS,validation_2024,lightgbm,raw_validation_2024,7289,237,6434,0.7210460090323599,0.9160809035231948,-0.1950348944908349,1.9866358615134967e-25,0.11397601661632588,0.3921109881211963,-0.27813497150487043,-0.3363702006917104,-0.21777044254388736,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,logistic_l2,validation_2024,catboost,raw_validation_2024,7504,285,6600,0.8490299720766107,0.9205026696121102,-0.07147269753549956,2.6085193743201173e-09,0.31447474289014676,0.41692004054430054,-0.10244529765415378,-0.14379912662380362,-0.058904946139797555,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,logistic_l2,validation_2024,xgboost,raw_validation_2024,7504,285,6600,0.8490299720766107,0.921710981984675,-0.07268100990806436,6.823347933028773e-10,0.31447474289014676,0.4171820689712603,-0.10270732608111355,-0.14468665134293807,-0.05725611336399941,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,logistic_l2,validation_2024,lightgbm,raw_validation_2024,7504,285,6600,0.8490299720766107,0.9224526894185179,-0.0734227173419072,9.646646976589168e-10,0.31447474289014676,0.4174361741236196,-0.10296143123347284,-0.1447279250264102,-0.055050474846102836,0.0,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,catboost,validation_2024,xgboost,raw_validation_2024,7504,285,6600,0.9205026696121102,0.921710981984675,-0.0012083123725648015,0.7132038852322498,0.41692004054430054,0.4171820689712603,-0.0002620284269597706,-0.021953490934976866,0.023113446038276197,0.98,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,catboost,validation_2024,lightgbm,raw_validation_2024,7504,285,6600,0.9205026696121102,0.9224526894185179,-0.0019500198064076324,0.5012483126074931,0.41692004054430054,0.4174361741236196,-0.0005161335793190669,-0.028464715674306112,0.0271101091083676,0.97,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-P3,P3,xgboost,validation_2024,lightgbm,raw_validation_2024,7504,285,6600,0.921710981984675,0.9224526894185179,-0.0007417074338428309,0.7287397606565014,0.4171820689712603,0.4174361741236196,-0.0002541051523592963,-0.022022025152755927,0.022556117969554226,0.965,2000,2000,paired_outcome_stratified_patient_group_cluster,s0022
P1_03-evaluation-S1,S1,score_rSI_sMS,validation_2024,logistic_l2,raw_validation_2024,7289,135,6434,0.7996365669555494,0.8256442912020212,-0.026007724246471797,0.3371863141578423,0.10085625516790192,0.15695022544489334,-0.05609397027699142,-0.10523013832784074,-0.013711111188809239,0.007,2000,2000,paired_outcome_stratified_patient_group_cluster,s0027
