split_year,feature,n,missing_n,missing_rate
2020,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,5305,0,0.0
2020,EMT_生命徵象量測次數,5305,0,0.0
2020,MISS_EMT_生命徵象量測次數,5305,0,0.0
2020,MISSREASON_EMT_生命徵象量測次數__source_missing,5305,0,0.0
2020,MISSREASON_EMT_生命徵象量測次數__not_measured,5305,0,0.0
2020,MISSREASON_EMT_生命徵象量測次數__sentinel,5305,0,0.0
2020,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,5305,0,0.0
2020,EMT_問卷_疼痛指數,5305,1598,0.3012252591894439
2020,MISS_EMT_問卷_疼痛指數,5305,0,0.0
2020,MISSREASON_EMT_問卷_疼痛指數__source_missing,5305,0,0.0
2020,MISSREASON_EMT_問卷_疼痛指數__not_measured,5305,0,0.0
2020,MISSREASON_EMT_問卷_疼痛指數__sentinel,5305,0,0.0
2020,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,5305,0,0.0
2020,EMT_問卷_左瞳孔尺寸mm,5305,174,0.0327992459943449
2020,MISS_EMT_問卷_左瞳孔尺寸mm,5305,0,0.0
2020,MISSREASON_EMT_問卷_左瞳孔尺寸mm__source_missing,5305,0,0.0
2020,MISSREASON_EMT_問卷_左瞳孔尺寸mm__not_measured,5305,0,0.0
2020,MISSREASON_EMT_問卷_左瞳孔尺寸mm__sentinel,5305,0,0.0
2020,MISSREASON_EMT_問卷_左瞳孔尺寸mm__invalid_or_out_of_range,5305,0,0.0
2020,EMT_問卷_右瞳孔尺寸mm,5305,172,0.0324222431668237
2020,MISS_EMT_問卷_右瞳孔尺寸mm,5305,0,0.0
2020,MISSREASON_EMT_問卷_右瞳孔尺寸mm__source_missing,5305,0,0.0
2020,MISSREASON_EMT_問卷_右瞳孔尺寸mm__not_measured,5305,0,0.0
2020,MISSREASON_EMT_問卷_右瞳孔尺寸mm__sentinel,5305,0,0.0
2020,MISSREASON_EMT_問卷_右瞳孔尺寸mm__invalid_or_out_of_range,5305,0,0.0
2020,EMT_問卷_血糖值mgdl,5305,4148,0.7819038642789821
2020,MISS_EMT_問卷_血糖值mgdl,5305,0,0.0
2020,MISSREASON_EMT_問卷_血糖值mgdl__source_missing,5305,0,0.0
2020,MISSREASON_EMT_問卷_血糖值mgdl__not_measured,5305,0,0.0
2020,MISSREASON_EMT_問卷_血糖值mgdl__sentinel,5305,0,0.0
2020,MISSREASON_EMT_問卷_血糖值mgdl__invalid_or_out_of_range,5305,0,0.0
2020,EMT_問卷_氧氣流量Lmin,5305,4623,0.8714420358152686
2020,MISS_EMT_問卷_氧氣流量Lmin,5305,0,0.0
2020,MISSREASON_EMT_問卷_氧氣流量Lmin__source_missing,5305,0,0.0
2020,MISSREASON_EMT_問卷_氧氣流量Lmin__not_measured,5305,0,0.0
2020,MISSREASON_EMT_問卷_氧氣流量Lmin__sentinel,5305,0,0.0
2020,MISSREASON_EMT_問卷_氧氣流量Lmin__invalid_or_out_of_range,5305,0,0.0
2020,EMT_問卷_靜脈輸液量ml,5305,5036,0.9492931196983976
2020,MISS_EMT_問卷_靜脈輸液量ml,5305,0,0.0
2020,MISSREASON_EMT_問卷_靜脈輸液量ml__source_missing,5305,0,0.0
2020,MISSREASON_EMT_問卷_靜脈輸液量ml__not_measured,5305,0,0.0
2020,MISSREASON_EMT_問卷_靜脈輸液量ml__sentinel,5305,0,0.0
2020,MISSREASON_EMT_問卷_靜脈輸液量ml__invalid_or_out_of_range,5305,0,0.0
2020,EMT_體重,5305,69,0.0130065975494816
2020,MISS_EMT_體重,5305,0,0.0
2020,MISSREASON_EMT_體重__source_missing,5305,0,0.0
2020,MISSREASON_EMT_體重__not_measured,5305,0,0.0
2020,MISSREASON_EMT_體重__sentinel,5305,0,0.0
2020,MISSREASON_EMT_體重__invalid_or_out_of_range,5305,0,0.0
2020,EMT_燒燙傷一級%,5305,0,0.0
2020,MISS_EMT_燒燙傷一級%,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷一級%__source_missing,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷一級%__not_measured,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷一級%__sentinel,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷一級%__invalid_or_out_of_range,5305,0,0.0
2020,EMT_燒燙傷二級%,5305,0,0.0
2020,MISS_EMT_燒燙傷二級%,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷二級%__source_missing,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷二級%__not_measured,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷二級%__sentinel,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷二級%__invalid_or_out_of_range,5305,0,0.0
2020,EMT_燒燙傷三級%,5305,0,0.0
2020,MISS_EMT_燒燙傷三級%,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷三級%__source_missing,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷三級%__not_measured,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷三級%__sentinel,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷三級%__invalid_or_out_of_range,5305,0,0.0
2020,EMT_燒燙傷總%,5305,0,0.0
2020,MISS_EMT_燒燙傷總%,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷總%__source_missing,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷總%__not_measured,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷總%__sentinel,5305,0,0.0
2020,MISSREASON_EMT_燒燙傷總%__invalid_or_out_of_range,5305,0,0.0
2020,EMT_城市__台北,5305,0,0.0
2020,EMT_城市__新北,5305,0,0.0
2020,EMT_城市__OTHER_RARE,5305,0,0.0
2020,EMT_城市__MISSING,5305,0,0.0
2020,EMT_性別__女,5305,0,0.0
2020,EMT_性別__男,5305,0,0.0
2020,EMT_性別__OTHER_RARE,5305,0,0.0
2020,EMT_性別__MISSING,5305,0,0.0
2020,EMT_送醫路由__家屬指定送醫,5305,0,0.0
2020,EMT_送醫路由__就近適當,5305,0,0.0
2020,EMT_送醫路由__指揮中心,5305,0,0.0
2020,EMT_送醫路由__OTHER_RARE,5305,0,0.0
2020,EMT_送醫路由__MISSING,5305,0,0.0
2020,EMT_危急個案__0.0,5305,0,0.0
2020,EMT_危急個案__1.0,5305,0,0.0
2020,EMT_危急個案__OTHER_RARE,5305,0,0.0
2020,EMT_危急個案__MISSING,5305,0,0.0
2020,EMT_發生地區__三峽區,5305,0,0.0
2020,EMT_發生地區__三重區,5305,0,0.0
2020,EMT_發生地區__中和區,5305,0,0.0
2020,EMT_發生地區__土城區,5305,0,0.0
2020,EMT_發生地區__坪林區,5305,0,0.0
2020,EMT_發生地區__市文山區,5305,0,0.0
2020,EMT_發生地區__新店區,5305,0,0.0
2020,EMT_發生地區__新莊區,5305,0,0.0
2020,EMT_發生地區__板橋區,5305,0,0.0
2020,EMT_發生地區__樹林區,5305,0,0.0
2020,EMT_發生地區__永和區,5305,0,0.0
2020,EMT_發生地區__深坑區,5305,0,0.0
