outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.021344229166492555,6.516406675834207e-23,5.854566163102903e-49,2.049194041109332e-22,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.03630689012781109,2.7700030989656703e-15,1.2903682893112134e-36,8.535898453306808e-15,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.04793640756358919,5.410664026572426e-12,8.16009608607695e-31,1.6725562892655865e-11,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.059592660867457826,8.740561486914882e-10,1.2871668595465536e-26,2.6911014086993203e-09,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.07236270938076879,4.2661112660476114e-08,3.949269239540335e-23,1.313109919750456e-07,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.08291686573546908,4.5681647211318906e-07,8.061144236411131e-21,1.4075301164191384e-06,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.0952180112045893,3.7736249762142533e-06,1.3825337147356313e-18,1.1596933542165692e-05,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.10838571842700594,2.0540300338301443e-05,1.3422699033726443e-16,6.304799110668442e-05,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.1232145997260378,8.216380756415012e-05,9.718874221565801e-15,0.0002515623022711804,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.14003004621272797,0.00023892799670406517,5.354892296837097e-13,0.0007288334236349894,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.15856768914197125,0.0004878522997635597,2.0415098572603504e-11,0.001484380957043593,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.17969924283098154,0.0007241914132963189,6.045208470681625e-10,0.002162232769471123,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.19965247813481835,0.0008127906631801416,8.564822245589663e-09,0.0023417035519389734,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.2224370786257248,0.0008241729128767144,1.0761943669645186e-07,0.0021889775755926607,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.24634205325898717,0.0008854074265471248,9.812479055056906e-07,0.0022019246591615193,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.2755485002551051,0.00110642696038818,8.878358786387807e-06,0.002926019641271021,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.30978581191390153,0.0014468714250341593,5.826033929673199e-05,0.0036599886133364796,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.3445940039170135,0.0018377471372438689,0.00020867066002432387,0.004154956026926738,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.38863939162186634,0.002907921954629645,0.0008511039682627855,0.0058261352573459515,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.44896583954859387,0.00713277708317023,0.0030387884365434804,0.012298476508024875,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.51764963329629,0.014798114934764404,0.008167548624727117,0.022300486486413078,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.5825332358449478,0.022354839875457895,0.014657947574039445,0.03119086502489289,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__raw,common_ml,flexible_kernel,0.6639107117107126,0.04053887462803089,0.028139439660475125,0.05439568638045134,2000,2000,0,1900,ESTIMATED,0.25,7504.0,107.0,7504,1.0,s0010
