analysis_split,method,feature_x,feature_y,feature_x_group,feature_y_group,pair_n,correlation
train_2020_2023,pearson,prehosp_bt,prehosp_gcs_m,vital,vital,23689,-0.10647433126651384
train_2020_2023,pearson,prehosp_bt,MAP,vital,derived_score,22573,0.0029377602922513353
train_2020_2023,pearson,prehosp_bt,SI,vital,derived_score,23842,0.15480248588054907
train_2020_2023,pearson,prehosp_bt,mSI,vital,derived_score,22573,0.18799195498835947
train_2020_2023,pearson,prehosp_bt,aSI,vital,derived_score,23830,0.2205163619581204
train_2020_2023,pearson,prehosp_bt,rSI,vital,derived_score,23842,-0.14962398056265833
train_2020_2023,pearson,prehosp_bt,rSIG,vital,derived_score,23682,-0.1718204973198399
train_2020_2023,pearson,prehosp_bt,rSIG_Age,vital,derived_score,23670,-0.17943142701587955
train_2020_2023,pearson,prehosp_bt,SI_G,vital,derived_score,23682,0.14386762914131085
train_2020_2023,pearson,prehosp_bt,SIA_G,vital,derived_score,23670,0.1711031941752032
train_2020_2023,pearson,prehosp_bt,SIAVPU,vital,derived_score,23842,0.0907993340838129
train_2020_2023,pearson,prehosp_bt,sMS,vital,derived_score,23689,-0.12817354706801684
train_2020_2023,pearson,prehosp_bt,rSI_sMS,vital,derived_score,23684,-0.17644735410506784
train_2020_2023,pearson,prehosp_bt,rSI_GCS,vital,derived_score,23682,-0.1718204973198399
train_2020_2023,pearson,prehosp_bt,rSI_GCSM,vital,derived_score,23684,-0.1669777124330182
train_2020_2023,pearson,prehosp_bt,qSOFA,vital,derived_score,23842,0.11382554079710533
train_2020_2023,pearson,prehosp_bt,NEWS2,vital,derived_score,3039,0.07463799766522622
train_2020_2023,pearson,prehosp_bt,MEWS,vital,derived_score,23842,0.2773913001483146
train_2020_2023,pearson,prehosp_bt,REMS,vital,derived_score,22418,0.16234981829687992
train_2020_2023,pearson,prehosp_bt,RTS,vital,derived_score,23682,-0.09441448947631598
train_2020_2023,pearson,prehosp_gcs,prehosp_gcs_m,vital,vital,23692,0.9542535729831328
train_2020_2023,pearson,prehosp_gcs,MAP,vital,derived_score,22424,0.08120082752161756
train_2020_2023,pearson,prehosp_gcs,SI,vital,derived_score,23685,-0.1483971874109325
train_2020_2023,pearson,prehosp_gcs,mSI,vital,derived_score,22424,-0.15722948088992542
train_2020_2023,pearson,prehosp_gcs,aSI,vital,derived_score,23673,-0.2892194505564157
train_2020_2023,pearson,prehosp_gcs,rSI,vital,derived_score,23685,0.09350559271905716
train_2020_2023,pearson,prehosp_gcs,rSIG,vital,derived_score,23685,0.5361402982223696
train_2020_2023,pearson,prehosp_gcs,rSIG_Age,vital,derived_score,23673,0.37704848735647556
train_2020_2023,pearson,prehosp_gcs,SI_G,vital,derived_score,23685,-0.7665285952007092
train_2020_2023,pearson,prehosp_gcs,SIA_G,vital,derived_score,23673,-0.7575881478188985
train_2020_2023,pearson,prehosp_gcs,SIAVPU,vital,derived_score,23685,0.32924703534651256
train_2020_2023,pearson,prehosp_gcs,sMS,vital,derived_score,23692,0.9541736722443749
train_2020_2023,pearson,prehosp_gcs,rSI_sMS,vital,derived_score,23685,0.5351333252015741
train_2020_2023,pearson,prehosp_gcs,rSI_GCS,vital,derived_score,23685,0.5361402982223697
train_2020_2023,pearson,prehosp_gcs,rSI_GCSM,vital,derived_score,23685,0.5015406284097919
train_2020_2023,pearson,prehosp_gcs,qSOFA,vital,derived_score,23685,-0.6296493194675089
train_2020_2023,pearson,prehosp_gcs,NEWS2,vital,derived_score,2950,-0.5401667306413767
train_2020_2023,pearson,prehosp_gcs,MEWS,vital,derived_score,23682,-0.544540866378122
train_2020_2023,pearson,prehosp_gcs,REMS,vital,derived_score,22418,-0.4451677086451134
train_2020_2023,pearson,prehosp_gcs,RTS,vital,derived_score,23685,0.94114338120706
train_2020_2023,pearson,prehosp_gcs_m,MAP,vital,derived_score,22424,0.07201402019594468
train_2020_2023,pearson,prehosp_gcs_m,SI,vital,derived_score,23687,-0.13620473935414307
train_2020_2023,pearson,prehosp_gcs_m,mSI,vital,derived_score,22424,-0.14186967532250494
train_2020_2023,pearson,prehosp_gcs_m,aSI,vital,derived_score,23675,-0.2601321033018938
train_2020_2023,pearson,prehosp_gcs_m,rSI,vital,derived_score,23687,0.08411841663251043
train_2020_2023,pearson,prehosp_gcs_m,rSIG,vital,derived_score,23685,0.5066844217555776
train_2020_2023,pearson,prehosp_gcs_m,rSIG_Age,vital,derived_score,23673,0.3480045019797515
train_2020_2023,pearson,prehosp_gcs_m,SI_G,vital,derived_score,23685,-0.7821950779876642
train_2020_2023,pearson,prehosp_gcs_m,SIA_G,vital,derived_score,23673,-0.7630110438508982
train_2020_2023,pearson,prehosp_gcs_m,SIAVPU,vital,derived_score,23687,0.3096635662503805
train_2020_2023,pearson,prehosp_gcs_m,sMS,vital,derived_score,23694,0.9107033008176408
train_2020_2023,pearson,prehosp_gcs_m,rSI_sMS,vital,derived_score,23687,0.5063575295257283
