group,analysis_split,feature,n,missing_n,missing_rate
medicine,train_2020_2023,MISSREASON_EMT_車上_GCS_M__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_車上_GCS_M__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_生命徵象量測次數,15995,424,0.026508283838699593
medicine,train_2020_2023,MISS_EMT_生命徵象量測次數,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_生命徵象量測次數__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_生命徵象量測次數__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_生命徵象量測次數__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_疼痛指數,15995,7693,0.48096280087527354
medicine,train_2020_2023,MISS_EMT_問卷_疼痛指數,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_疼痛指數__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_疼痛指數__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_疼痛指數__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_左瞳孔尺寸mm,15995,1284,0.08027508596436386
medicine,train_2020_2023,MISS_EMT_問卷_左瞳孔尺寸mm,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_左瞳孔尺寸mm__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_左瞳孔尺寸mm__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_左瞳孔尺寸mm__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_左瞳孔尺寸mm__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_右瞳孔尺寸mm,15995,1294,0.0809002813379181
medicine,train_2020_2023,MISS_EMT_問卷_右瞳孔尺寸mm,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_右瞳孔尺寸mm__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_右瞳孔尺寸mm__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_右瞳孔尺寸mm__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_右瞳孔尺寸mm__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_血糖值mgdl,15995,11570,0.7233510472022507
medicine,train_2020_2023,MISS_EMT_問卷_血糖值mgdl,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_血糖值mgdl__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_血糖值mgdl__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_血糖值mgdl__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_血糖值mgdl__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_氧氣流量Lmin,15995,13100,0.8190059393560488
medicine,train_2020_2023,MISS_EMT_問卷_氧氣流量Lmin,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_氧氣流量Lmin__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_氧氣流量Lmin__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_氧氣流量Lmin__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_氧氣流量Lmin__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_問卷_靜脈輸液量ml,15995,14885,0.9306033135354799
medicine,train_2020_2023,MISS_EMT_問卷_靜脈輸液量ml,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_靜脈輸液量ml__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_靜脈輸液量ml__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_靜脈輸液量ml__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_問卷_靜脈輸液量ml__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_體重,15995,653,0.04082525789309159
medicine,train_2020_2023,MISS_EMT_體重,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_體重__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_體重__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_體重__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_體重__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_燒燙傷一級%,15995,424,0.026508283838699593
medicine,train_2020_2023,MISS_EMT_燒燙傷一級%,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷一級%__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷一級%__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷一級%__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷一級%__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_燒燙傷二級%,15995,424,0.026508283838699593
medicine,train_2020_2023,MISS_EMT_燒燙傷二級%,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷二級%__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷二級%__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷二級%__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷二級%__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_燒燙傷三級%,15995,424,0.026508283838699593
medicine,train_2020_2023,MISS_EMT_燒燙傷三級%,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷三級%__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷三級%__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷三級%__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷三級%__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_燒燙傷總%,15995,424,0.026508283838699593
medicine,train_2020_2023,MISS_EMT_燒燙傷總%,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷總%__source_missing,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷總%__not_measured,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷總%__sentinel,15995,0,0.0
medicine,train_2020_2023,MISSREASON_EMT_燒燙傷總%__invalid_or_out_of_range,15995,0,0.0
medicine,train_2020_2023,EMT_城市__台北,15995,0,0.0
medicine,train_2020_2023,EMT_城市__新北,15995,0,0.0
medicine,train_2020_2023,EMT_城市__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_城市__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_性別__女,15995,0,0.0
medicine,train_2020_2023,EMT_性別__男,15995,0,0.0
medicine,train_2020_2023,EMT_性別__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_性別__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_送醫路由__家屬指定送醫,15995,0,0.0
medicine,train_2020_2023,EMT_送醫路由__就近適當,15995,0,0.0
medicine,train_2020_2023,EMT_送醫路由__指揮中心,15995,0,0.0
medicine,train_2020_2023,EMT_送醫路由__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_送醫路由__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_危急個案__0.0,15995,0,0.0
medicine,train_2020_2023,EMT_危急個案__1.0,15995,0,0.0
medicine,train_2020_2023,EMT_危急個案__OTHER_RARE,15995,0,0.0
medicine,train_2020_2023,EMT_危急個案__MISSING,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__三峽區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__三重區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__中和區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__土城區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__坪林區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__市文山區,15995,0,0.0
medicine,train_2020_2023,EMT_發生地區__新店區,15995,0,0.0
