entity_id,group,outcome,model,model_sha256,bound_document_count,recorded_field_count,seed,final_fit_rows,context_rows,context_row_policy,runtime_packages,stack_member_order
v2|S6|overall|mlp_plr,overall,S6,mlp_plr,07ad8ea5e7cf29dbee83ac3d188338681814fdec077279631a070b832b4a0ce1,18,2,20260715.0,,,,,
v2|S6|overall|ft_transformer,overall,S6,ft_transformer,69a56431f37fc9822d4fce131bb5efe11e644755176b9a72fee3acc1db7f426b,30,2,20260715.0,,,,,
v2|S6|overall|cnn_1d,overall,S6,cnn_1d,73754ea95ed11004a3d122479af9c9c5600791e40739c07900ad40998034944b,11,1,,,,,,
v2|S6|overall|tabpfn,overall,S6,tabpfn,b523f73d48480f28a7cc63ded6ed24abdec3f2bf4fe4f9c21f5baa43503131a4,8,8,,,,full_or_model_limit,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|tabicl,overall,S6,tabicl,cd1f79dadf15fa498da28f826ef0136cf43fb21dc6e7bf6d6aa8326d775a19ae,10,9,20260716.0,,,full_or_model_limit,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|stacking,overall,S6,stacking,c4d68bac9d216db470003e17c601acf77afe1dabe172ae722f3db7152227fa50,9,2,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""balanced_random_forest"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_finetuned"",""tabicl""]"
v3|P1|medicine|bert_finetuned,medicine,P1,bert_finetuned,507392521eb0b6cf983837ce6a6c7ab83fe36d27398865731832d8af83d27c39,1,0,,,,,,
v3|P1|medicine|catboost,medicine,P1,catboost,ada21b9d113537ec69e8c093dd48cbc4eaa48cac7033bab171bfd32ed65581e0,1,0,,,,,,
v3|P1|medicine|cnn_1d,medicine,P1,cnn_1d,d1e9a7298ced207e41a15365f6093ae3e4bbe66e1fc3ea3125c1c5311f2522d5,1,0,,,,,,
v3|P1|medicine|ft_transformer,medicine,P1,ft_transformer,c1d9715cc757919a1443580d60e858241236b75e07706caa27f0f03bf307db22,2,0,,,,,,
v3|P1|medicine|lightgbm,medicine,P1,lightgbm,854e1fb13736c0603b32c16279fb8613aa87dde27aa746e42e3a698cc600d8f8,1,0,,,,,,
v3|P1|medicine|logistic_regression,medicine,P1,logistic_regression,2d4c276714b6d788f2caf8cba95bf36e0434e9f9ef0c160bac1189534714d2f0,1,0,,,,,,
v3|P1|medicine|mlp_plr,medicine,P1,mlp_plr,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733,2,0,,,,,,
v3|P1|medicine|rSI_sMS,medicine,P1,rSI_sMS,dfd7a80b4426364a219c29af8d2c84d6e39e3a8ca1bb0df99e0f6e37dbf3a55c,1,0,,,,,,
v3|P1|medicine|stacking,medicine,P1,stacking,5a35ad8166ed08daf0fc5e963ea59a5199d6bf0cd9c948ee0df5bc483456804b,1,3,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_standard"",""tabicl"",""tabpfn_thinking""]"
v3|P1|medicine|tabicl,medicine,P1,tabicl,cd9cacac6b1b176b41ddd8b58ec3f000925d58cadb9b3de82e37750d6e399ff1,1,5,,,,half_model_limit,,
