id,group,outcome,model,role,trained_population,target_n,missing_target_rows,coverage,n,events,AUROC,AUPRC,Brier,prevalence
overall_P1_score_rSI,overall,P1,score_rSI,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.7390683358694149,0.02674575611767498,0.23914781809973742,0.00823158183564275
medicine_P1_score_rSI,medicine,P1,score_rSI,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,59,0.7416358325941815,0.03564946639414824,0.2471155434524618,0.012753999135322092
surgery_P1_score_rSI,surgery,P1,score_rSI,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,2,0.07182731671008555,0.0005970473295701259,0.22554033677551857,0.0007437709185570844
overall_P1_score_rSI_sMS,overall,P1,score_rSI_sMS,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.8738184165629179,0.06236502513085726,0.18526667382185139,0.00823158183564275
medicine_P1_score_rSI_sMS,medicine,P1,score_rSI_sMS,overall_trained_single_score_logistic_probability,overall,4770,191,score_component_available_subset_of_current_cohort,4579,58,0.8598074884256611,0.06786170579157925,0.2122074096285623,0.012666521074470409
surgery_P1_score_rSI_sMS,surgery,P1,score_rSI_sMS,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.5290394638868205,0.006985782193482078,0.13942910142390352,0.000744047619047619
overall_P1_score_rSI_GCSM,overall,P1,score_rSI_GCSM,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.8726229999538895,0.07108219705021332,0.18500797438998368,0.00823158183564275
medicine_P1_score_rSI_GCSM,medicine,P1,score_rSI_GCSM,overall_trained_single_score_logistic_probability,overall,4770,191,score_component_available_subset_of_current_cohort,4579,58,0.8611498829218436,0.07786899123257426,0.2069624649290703,0.012666521074470409
surgery_P1_score_rSI_GCSM,surgery,P1,score_rSI_GCSM,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.5400223380491437,0.029818599530943377,0.14755978889924726,0.000744047619047619
overall_P1_score_SIAVPU,overall,P1,score_SIAVPU,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.5173156729838152,0.024500581036732458,0.2451969990232483,0.00823158183564275
medicine_P1_score_SIAVPU,medicine,P1,score_SIAVPU,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,59,0.511044597759164,0.02803294681287039,0.24529417547881366,0.012753999135322092
surgery_P1_score_SIAVPU,surgery,P1,score_SIAVPU,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,2,0.947339039821362,0.10354609929078015,0.24520337430472727,0.0007437709185570844
overall_P1_score_sMS,overall,P1,score_sMS,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.7654412781850879,0.04076130401226759,0.1610181504388293,0.00823158183564275
medicine_P1_score_sMS,medicine,P1,score_sMS,overall_trained_single_score_logistic_probability,overall,4770,185,score_component_available_subset_of_current_cohort,4585,61,0.7577020915771622,0.049587482346210916,0.1862859659231227,0.013304252998909487
surgery_P1_score_sMS,surgery,P1,score_sMS,overall_trained_single_score_logistic_probability,overall,2712,21,score_component_available_subset_of_current_cohort,2691,5,0.8909903201787044,0.06703827573392791,0.11854068942917717,0.0018580453363062058
overall_P1_score_qSOFA,overall,P1,score_qSOFA,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.8793805044496703,0.054827399021546534,0.17395795615590695,0.00823158183564275
medicine_P1_score_qSOFA,medicine,P1,score_qSOFA,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,59,0.8587824221663889,0.06034048208382588,0.20979126807710036,0.012753999135322092
surgery_P1_score_qSOFA,surgery,P1,score_qSOFA,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,2,0.6425381466319315,0.001259984926418862,0.1152451570443114,0.0007437709185570844
overall_P1_score_MEWS,overall,P1,score_MEWS,overall_trained_single_score_logistic_probability,overall,7289,1,score_component_available_subset_of_current_cohort,7288,60,0.8598206050544179,0.06138745170969849,0.1682607406109177,0.00823271130625686
medicine_P1_score_MEWS,medicine,P1,score_MEWS,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,59,0.8350231765836714,0.064055817256749,0.20363005143506543,0.012753999135322092
surgery_P1_score_MEWS,surgery,P1,score_MEWS,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.6679076693968726,0.024187309982549875,0.11099619902146471,0.000744047619047619
overall_P1_score_REMS,overall,P1,score_REMS,overall_trained_single_score_logistic_probability,overall,7289,983,score_component_available_subset_of_current_cohort,6306,47,0.8566948700254613,0.07270063778279892,0.16777690532899314,0.0074532191563590235
medicine_P1_score_REMS,medicine,P1,score_REMS,overall_trained_single_score_logistic_probability,overall,4770,810,score_component_available_subset_of_current_cohort,3960,45,0.8284518234709806,0.08666720314961596,0.2045268033740998,0.011363636363636364
surgery_P1_score_REMS,surgery,P1,score_REMS,overall_trained_single_score_logistic_probability,overall,2712,384,score_component_available_subset_of_current_cohort,2328,2,0.8771496130696474,0.003946525532304313,0.106526605768692,0.000859106529209622
overall_P1_score_RTS,overall,P1,score_RTS,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,60,0.8128173174559218,0.07390145165675482,0.15460182142040363,0.008239494644328481
medicine_P1_score_RTS,medicine,P1,score_RTS,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,58,0.8009735993766519,0.07896383750942745,0.17254319179453917,0.01268591426071741
surgery_P1_score_RTS,surgery,P1,score_RTS,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.7162137006701415,0.03608630952380952,0.12449618312073654,0.000744047619047619
overall_P1_score_rSI_GCS_alias,overall,P1,score_rSI_GCS_alias,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,60,0.8816659743376719,0.07487532411642683,0.18343021543875596,0.008239494644328481
medicine_P1_score_rSI_GCS_alias,medicine,P1,score_rSI_GCS_alias,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,58,0.8693967427008693,0.08058779222669804,0.20812593162152154,0.01268591426071741
surgery_P1_score_rSI_GCS_alias,surgery,P1,score_rSI_GCS_alias,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.5403946388682055,0.03886804252657911,0.14142781323081863,0.000744047619047619
overall_P2_decision_tree,overall,P2,decision_tree,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,526,0.8536754168425941,0.3331611798274592,0.15651693427042007,0.0721635340924681
medicine_P2_decision_tree,medicine,P2,decision_tree,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,568,0.8249632552573892,0.3906204657871687,0.2052639574607621,0.1190775681341719
surgery_P2_decision_tree,surgery,P2,decision_tree,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,41,0.8644382756070166,0.30057732131199,0.07189936518790374,0.015117994100294985
overall_P2_random_forest,overall,P2,random_forest,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,526,0.8951215768644981,0.4077515593406968,0.08791542349962372,0.0721635340924681
medicine_P2_random_forest,medicine,P2,random_forest,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,568,0.8668457676089858,0.5108815729375633,0.126504587974355,0.1190775681341719
surgery_P2_random_forest,surgery,P2,random_forest,overall_trained_legacy_baseline,overall,2712,0,exact_current_cohort,2712,41,0.9380884112098328,0.38863943663974976,0.023123680858262424,0.015117994100294985
overall_P2_balanced_random_forest,overall,P2,balanced_random_forest,overall_trained_legacy_baseline,overall,7289,0,exact_current_cohort,7289,526,0.8918801081033064,0.39867293802119674,0.13629948220650798,0.0721635340924681
medicine_P2_balanced_random_forest,medicine,P2,balanced_random_forest,overall_trained_legacy_baseline,overall,4770,0,exact_current_cohort,4770,568,0.8596924837937668,0.48425840045327345,0.1897262127942449,0.1190775681341719
