id,group,outcome,model,alias_of,trained_population,evaluation_population,split,coverage,target_n,row_set_sha256,metric,value,lower_ci,upper_ci,status,reason,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_minimum_success_required,bootstrap_method,seed,derived_seed,model_point_value
overall_P1_score_SIA_G,overall,P1,score_SIA_G,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,c7b537636c0a24c52615c2fe949a207fb1189f2956fe395a416ecccd6edeaf15,Brier,0.14197926506497366,0.1374594975557242,0.1464020319249388,ESTIMATED,,7276,60,6425,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,43390309,0.14197926506497366
overall_P1_score_SI_G,overall,P1,score_SI_G,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,f672c49cd45c26b35e7b7ed656c1803f0dd7f856cdb88334c561598b75ea3f53,AUROC,0.881654435521093,0.8347859166104462,0.9234494270554664,ESTIMATED,,7282,60,6431,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2262667653,0.881654435521093
overall_P1_score_SI_G,overall,P1,score_SI_G,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,f672c49cd45c26b35e7b7ed656c1803f0dd7f856cdb88334c561598b75ea3f53,AUPRC,0.07487532411642682,0.05373109319590034,0.117979798307937,ESTIMATED,,7282,60,6431,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2262667653,0.07487532411642682
overall_P1_score_SI_G,overall,P1,score_SI_G,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,f672c49cd45c26b35e7b7ed656c1803f0dd7f856cdb88334c561598b75ea3f53,Brier,0.15933450946331373,0.15583715818275679,0.16317485551172534,ESTIMATED,,7282,60,6431,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2262667653,0.15933450946331373
overall_P1_score_SI,overall,P1,score_SI,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.7390683358694149,0.6694490040362475,0.7996439654548709,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2708311654,0.7390683358694149
overall_P1_score_SI,overall,P1,score_SI,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.02674575611767498,0.01862237616864177,0.04516187863926724,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2708311654,0.02674575611767498
overall_P1_score_SI,overall,P1,score_SI,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.22886674523494013,0.2255526983293908,0.23224112865275956,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2708311654,0.22886674523494013
overall_P1_score_mSI,overall,P1,score_mSI,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,99214c41cc79254315d5236f925d0c5a347475236dba0e161bfd4324bfd4849d,AUROC,0.7988102641478656,0.723741126324731,0.8637444185929453,ESTIMATED,,6308,47,5577,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2821574588,0.7988102641478656
overall_P1_score_mSI,overall,P1,score_mSI,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,99214c41cc79254315d5236f925d0c5a347475236dba0e161bfd4324bfd4849d,AUPRC,0.044082233505381874,0.027922718172216122,0.08563047206517233,ESTIMATED,,6308,47,5577,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2821574588,0.044082233505381874
overall_P1_score_mSI,overall,P1,score_mSI,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,99214c41cc79254315d5236f925d0c5a347475236dba0e161bfd4324bfd4849d,Brier,0.21626674810476632,0.21369782011815686,0.2191288717733708,ESTIMATED,,6308,47,5577,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2821574588,0.21626674810476632
overall_P1_score_aSI,overall,P1,score_aSI,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,60a6aed7f85358c43a18c4ad54b17d129448b812de5d0af1ae3895d6f58e9244,AUROC,0.8427453966495916,0.7987233518107711,0.8828646582073227,ESTIMATED,,7283,60,6428,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1906332312,0.8427453966495916
overall_P1_score_aSI,overall,P1,score_aSI,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,60a6aed7f85358c43a18c4ad54b17d129448b812de5d0af1ae3895d6f58e9244,AUPRC,0.04177556576679695,0.030028073679708386,0.06955329847387282,ESTIMATED,,7283,60,6428,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1906332312,0.04177556576679695
overall_P1_score_aSI,overall,P1,score_aSI,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,60a6aed7f85358c43a18c4ad54b17d129448b812de5d0af1ae3895d6f58e9244,Brier,0.19372404995078535,0.1880998003070712,0.1991741442254207,ESTIMATED,,7283,60,6428,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1906332312,0.19372404995078535
overall_P1_score_rSI,overall,P1,score_rSI,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.7390683358694149,0.666781512710009,0.8003639963666174,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1455502176,0.7390683358694149
overall_P1_score_rSI,overall,P1,score_rSI,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.02674575611767498,0.018464226854680695,0.044752174432977083,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1455502176,0.02674575611767498
